good,neutral,bad
exceptional customer service.,The behavior of the staff was neither exceptional nor poor; it was average.,Very bad customer service 
Experience top-notch assistance from there friendly and helpful staff.,The staff exhibited typical behavior.,Experienced very bad assistance from there staff 
Expect a warm welcome and attentive service from Staff ,The staff's conduct was neither outstanding nor below par; it was standard.,Lacking of warm welcome and attentive service from staff 
Friendly faces and helpful hands await you at our shop,"The staff's behavior was not remarkable, but it was acceptable.",No HelpFul Hands Awaits you at there shop 
staff's friendly behaviour and expertise make all the difference.,"The staff didn't go above and beyond, but their behavior was within the norm.",There non friendly behviour and Lack of knowledge 
staff members are dedicated to making your visit enjoyable.,The staff's behavior didn't exceed or fall below average.,Staff members are not dedicated to make your visit best 
professionalism and kindness.,"The staff's behavior was not noteworthy, but it was decent.",Lackingof professionalisum and kindness 
exceptional behavior ensures that you leave with a smile.,"The staff's behavior didn't go above the ordinary, but it met expectations.",Behaviour of staff will ensures that you leave the shop fustrated 
Service with a smile is what you can expect from our staff.,"The staff's behavior was not exceptional, but it was still within the expected range.",Agrugant behaviour 
knowledgeable and accommodating staff ready to assist you.,"The staff's demeanor didn't stand out, but it was still within the average",Lacking in knowledge and accommodating staff in assisting 
Best staff with best knowledge ,It was evident that the staff's behavior was ordinary.,worst staff with worst knowledge 
Detail information will be provided by there staff ,"The staff didn't go the extra mile, but their behavior was still adequate.",Feels likei have wasted my time 
 every customer feels respected and valued by there customer ,,
